timestamp,sensor_type,value
2024-05-01 12:00:00,dht22_temp,24.985590967042207
2024-05-01 12:00:00,dht22_humidity,54.91354819983424
2024-05-01 12:00:00,mq2_gas,198.88684138432336
2024-05-01 12:00:05,dht22_temp,25.11019570589655
2024-05-01 12:00:05,dht22_humidity,54.93464343948707
2024-05-01 12:00:05,mq2_gas,185.02646585659042
2024-05-01 12:00:10,dht22_temp,25.11321050278004
2024-05-01 12:00:10,dht22_humidity,54.86008256272625
2024-05-01 12:00:10,mq2_gas,197.83041315854805
2024-05-01 12:00:15,dht22_temp,25.131516491628975
2024-05-01 12:00:15,dht22_humidity,55.10209295901439
2024-05-01 12:00:15,mq2_gas,211.63558686599143
2024-05-01 12:00:20,dht22_temp,25.22549303861821
2024-05-01 12:00:20,dht22_humidity,55.030274415112046
2024-05-01 12:00:20,mq2_gas,192.6167839765518
2024-05-01 12:00:25,dht22_temp,25.098200596544885
2024-05-01 12:00:25,dht22_humidity,55.08415943375224
2024-05-01 12:00:25,mq2_gas,213.1108082720405
2024-05-01 12:00:30,dht22_temp,25.243590100968177
2024-05-01 12:00:30,dht22_humidity,54.89069374279482
2024-05-01 12:00:30,mq2_gas,205.3177622040087
2024-05-01 12:00:35,dht22_temp,25.133731699487605
2024-05-01 12:00:35,dht22_humidity,54.76749403595239
2024-05-01 12:00:35,mq2_gas,204.90362532593525
2024-05-01 12:00:40,dht22_temp,25.405976851766436
2024-05-01 12:00:40,dht22_humidity,54.780018052878646
2024-05-01 12:00:40,mq2_gas,203.7659985868791
2024-05-01 12:00:45,dht22_temp,25.38288049178449
2024-05-01 12:00:45,dht22_humidity,55.26513393969654
2024-05-01 12:00:45,mq2_gas,188.86777785751826
2024-05-01 12:00:50,dht22_temp,25.45416373034866
2024-05-01 12:00:50,dht22_humidity,54.087301912690656
2024-05-01 12:00:50,mq2_gas,173.8005457778115
2024-05-01 12:00:55,dht22_temp,25.375770173341788
2024-05-01 12:00:55,dht22_humidity,54.35422096496819
2024-05-01 12:00:55,mq2_gas,208.76012243056405
2024-05-01 12:01:00,dht22_temp,25.541831842815558
2024-05-01 12:01:00,dht22_humidity,54.167145074980176
2024-05-01 12:01:00,mq2_gas,208.47361423348
2024-05-01 12:01:05,dht22_temp,25.413940821360075
2024-05-01 12:01:05,dht22_humidity,54.69513170890593
2024-05-01 12:01:05,mq2_gas,197.0610022204347
2024-05-01 12:01:10,dht22_temp,25.56415328287432
2024-05-01 12:01:10,dht22_humidity,55.10618172000878
2024-05-01 12:01:10,mq2_gas,206.38413790792444
2024-05-01 12:01:15,dht22_temp,25.6260289235096
2024-05-01 12:01:15,dht22_humidity,54.97751215846472
2024-05-01 12:01:15,mq2_gas,204.7849203765012
2024-05-01 12:01:20,dht22_temp,25.566434574710275
2024-05-01 12:01:20,dht22_humidity,54.24661942310613
2024-05-01 12:01:20,mq2_gas,195.30031725863986
2024-05-01 12:01:25,dht22_temp,25.716906824329307
2024-05-01 12:01:25,dht22_humidity,54.43013587927148
2024-05-01 12:01:25,mq2_gas,223.35754222480548
2024-05-01 12:01:30,dht22_temp,25.62261921233153
2024-05-01 12:01:30,dht22_humidity,53.95279821181231
2024-05-01 12:01:30,mq2_gas,207.68473515469697
2024-05-01 12:01:35,dht22_temp,25.884025936960313
2024-05-01 12:01:35,dht22_humidity,54.69930995353547
2024-05-01 12:01:35,mq2_gas,208.35817345967672
2024-05-01 12:01:40,dht22_temp,25.921471182361515
2024-05-01 12:01:40,dht22_humidity,54.34089907144371
2024-05-01 12:01:40,mq2_gas,185.77041066861023
2024-05-01 12:01:45,dht22_temp,25.762313251287267
2024-05-01 12:01:45,dht22_humidity,54.803067586773
2024-05-01 12:01:45,mq2_gas,185.56321593921712
2024-05-01 12:01:50,dht22_temp,25.855232062210725
2024-05-01 12:01:50,dht22_humidity,54.38924128996856
2024-05-01 12:01:50,mq2_gas,196.8440783518633
2024-05-01 12:01:55,dht22_temp,25.96025941256785
